Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
gluino_1000.0_neutralino_1.0_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.9428857646577419,0.5588136519704139,0.3074717035923541,0.1690677661809672
pp23mt_50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.5420607346308506,0.10082304526748971,0.06319811875367431,0.04379776601998824
pp24mt_50_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.6353843011228604,0.11486880809507001,0.06094834686433698,0.03812530885986586
stlp_st1000_chan2b,DeepSetVAE_beta_1.0_weight_1.0,0.9488491163355566,0.5813745780126229,0.29346315866725375,0.1471181711434023
glgl1400_neutralino1100_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6504710047517995,0.06162348163568575,0.037452888637448674,0.03503582933762497
glgl1600_neutralino800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6390552021027945,0.052973794833355244,0.03133047828533201,0.029166146630529684
gluino_1000.0_neutralino_1.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6100144642044567,0.1010277318041114,0.08758874198240563,0.08624484300023505
monoV_Zp2000.0_DM_1.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.4999423138426215,0.10466699062344835,0.09955683395999566,0.0990458182936504
monojet_Zp2000.0_DM_50.0_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.4880632979607864,0.07298649321879612,0.06789005772781914,0.06738041417872144
monotop_200_A_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.5710610016458311,0.05767336984629587,0.0443680627920256,0.04303753208659857
sqsq1_sq1400_neut800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6484499252546636,0.06523454109230643,0.0416559451665985,0.039298085574027704
sqsq_sq1800_neut800_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.5236803141424199,0.04504361041937127,0.035157135622383234,0.03416848814268444
stlp_st1000_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6527024097587181,0.06365946912542986,0.04022185724035389,0.03787809605184629
stop2b1000_neutralino300_chan3,DeepSetVAE_beta_1.0_weight_1.0,0.6464702548835071,0.05943687161563566,0.03498183290435059,0.03253632903322208
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.6417282890263901,0.078369140625,0.0205078125,0.00732421875
glgl1600_neutralino800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.729214421803276,0.09056252905625291,0.02287308228730823,0.007717340771734077
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.6298306399867457,0.06814159292035399,0.016937758112094397,0.009734513274336283
monotop_200_A_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7105678487055022,0.11068943706514864,0.036685641998734975,0.010120177103099304
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7411740513373521,0.1347603989297008,0.03547506689369983,0.013865239601070299
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.7605486746518099,0.1683876683203402,0.0387735648476258,0.013465627214741318
stlp_st1000_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.92561510939468,0.5935639554505568,0.1657242659466757,0.052279165260434246
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_1.0_weight_10.0,0.802657773280345,0.15372964786065885,0.042029534267322984,0.01609238924649754
